Country Name,2017 GDP per Cap,2017 Adolescent birth rate,2017 HIV incidence
Sri Lanka,4073.736519,14.088,0.01
St. Kitts and Nevis,17924.06546,,
St. Lucia,9715.194786,40.536,
St. Vincent and the Grenadines,7145.076837,49.02,
Sub-Saharan Africa,1574.766606,49.02,
Sudan,2898.549346,63.993,0.02
Suriname,5317.389539,46.034,0.1
Sweden,53253.47664,5.239,
Switzerland,80342.84634,2.989,
Tajikistan,801.0508713,36.416,0.03
Tanzania,958.4456832,115.066,0.22
Thailand,6595.004125,51.851,
Timor-Leste,2279.253204,43.978,
Togo,610.1517301,89.091,0.1
Tonga,3959.079757,14.662,
Trinidad and Tobago,16126.37095,30.09,0.04
Tunisia,3464.41689,7.653,0.01
Turkey,10546.15256,25.848,
Turkmenistan,6586.625863,24.418,
Tuvalu,3549.974741,,
Uganda,606.4684535,106.502,0.25
Ukraine,2639.824326,23.84,0.06
United Arab Emirates,40698.84934,28.379,
United Kingdom,39953.57306,12.498,
United States,59927.93029,18.789,
Uruguay,16245.59837,54.726,0.04
Uzbekistan,1533.852038,16.524,0.04
Vanuatu,3123.614591,41.914,
Vietnam,2342.244003,27.283,
West Bank and Gaza,3094.725747,56.247,
World,10748.71013,56.247,
Yemen,1106.803906,60.352,
Zambia,1513.276316,82.818,0.63
Zimbabwe,1333.395663,104.081,0.54
